id_election;annee;type_election;tour;code_departement;libelle_departement;code_commune;libelle_commune;inscrits;abstentions;votants;nuls;exprimes;taux_participation;taux_abstention;taux_nuls_inscrits;taux_exprimes_inscrits
2014_euro_t1;2014;euro;1;69;Rhône;69197;Saint-Etienne-Des-Oullières;1484;926;558;19;539;37.6;62.4;1.28;36.32
2014_euro_t1;2014;euro;1;69;Rhône;69198;Saint-Etienne-La-Varenne;574;320;254;8;246;44.25;55.75;1.39;42.86
2014_euro_t1;2014;euro;1;69;Rhône;69199;Saint-Fons;8139;6043;2096;70;2026;25.75;74.25;0.86;24.89
2014_euro_t1;2014;euro;1;69;Rhône;69200;Saint-Forgeux;1208;666;542;25;517;44.87;55.13;2.07;42.8
2014_euro_t1;2014;euro;1;69;Rhône;69201;Sainte-Foy-L'Argentière;869;519;350;14;336;40.28;59.72;1.61;38.67
2014_euro_t1;2014;euro;1;69;Rhône;69202;Sainte-Foy-Lès-Lyon;15502;7488;8014;152;7862;51.7;48.3;0.98;50.72
2014_euro_t1;2014;euro;1;69;Rhône;69203;Saint-Genis-L'Argentière;746;394;352;8;344;47.18;52.82;1.07;46.11
2014_euro_t1;2014;euro;1;69;Rhône;69204;Saint-Genis-Laval;15576;8957;6619;120;6499;42.49;57.51;0.77;41.72
2014_euro_t1;2014;euro;1;69;Rhône;69205;Saint-Genis-Les-Ollières;3773;1976;1797;52;1745;47.63;52.37;1.38;46.25
2014_euro_t1;2014;euro;1;69;Rhône;69206;Saint-Georges-De-Reneins;3280;2066;1214;37;1177;37.01;62.99;1.13;35.88
2014_euro_t1;2014;euro;1;69;Rhône;69207;Saint-Germain-Au-Mont-D'Or;2030;1178;852;30;822;41.97;58.03;1.48;40.49
2014_euro_t1;2014;euro;1;69;Rhône;69208;Saint-Germain-Nuelles;1612;802;810;21;789;50.25;49.75;1.3;48.95
2014_euro_t1;2014;euro;1;69;Rhône;69209;Saint-Igny-De-Vers;501;297;204;11;193;40.72;59.28;2.2;38.52
2014_euro_t1;2014;euro;1;69;Rhône;69210;Saint-Jacques-Des-Arrêts;91;40;51;6;45;56.04;43.96;6.59;49.45
2014_euro_t1;2014;euro;1;69;Rhône;69211;Saint-Jean-D'Ardières;2421;1446;975;36;939;40.27;59.73;1.49;38.79
2014_euro_t1;2014;euro;1;69;Rhône;69212;Saint-Jean-Des-Vignes;322;146;176;10;166;54.66;45.34;3.11;51.55
2014_euro_t1;2014;euro;1;69;Rhône;69213;Saint-Jean-De-Touslas;561;255;306;14;292;54.55;45.45;2.5;52.05
2014_euro_t1;2014;euro;1;69;Rhône;69214;Saint-Jean-La-Bussière;806;443;363;12;351;45.04;54.96;1.49;43.55
2014_euro_t1;2014;euro;1;69;Rhône;69215;Saint-Julien;657;340;317;18;299;48.25;51.75;2.74;45.51
2014_euro_t1;2014;euro;1;69;Rhône;69216;Saint-Julien-Sur-Bibost;431;245;186;16;170;43.16;56.84;3.71;39.44
2014_euro_t1;2014;euro;1;69;Rhône;69217;Saint-Just-D'Avray;641;331;310;16;294;48.36;51.64;2.5;45.87
2014_euro_t1;2014;euro;1;69;Rhône;69218;Saint-Lager;709;380;329;14;315;46.4;53.6;1.97;44.43
