code_commune;actifs_2022;chomeurs_2022;actifs_occupes_2022;inactifs_2022;taux_chomage_2022
69097;398.296135666791;11.3776125989244;386.918523067866;86.13866364482;2.86
69098;246.0;18.0;228.0;69.0;7.32
69099;664.0;48.0;616.0;196.0;7.23
69100;4114.8062067326;376.27747422573;3738.52873250687;1264.88977153866;9.14
69102;403.013705117505;42.1093862453336;360.904318872171;94.6472763198145;10.45
69103;448.0;33.0;415.0;102.0;7.37
69104;250.0;15.0;235.0;42.0;6.0
69105;524.303755859987;34.8740991516201;489.429656708367;128.219955526179;6.65
69106;638.734287076921;50.1831962461823;588.551090830738;136.545652296872;7.86
69107;504.772242880444;41.2546433346784;463.517599545765;133.659667762177;8.17
69108;548.286992305655;30.5668726667098;517.720119638945;117.672377619729;5.57
69109;439.100340135656;30.759142102431;408.341198033225;76.0628272528467;7.01
69110;939.0;36.0;903.0;210.0;3.83
69111;361.330876103703;23.8017730143302;337.529103089373;87.5260061516625;6.59
69112;3263.81612354214;245.289651534304;3018.52647200784;911.937426164544;7.52
69113;460.166094628127;42.4305417223387;417.735552905788;95.4120037160977;9.22
69114;2017.01315710933;97.1422631580546;1919.87089395127;478.874478276905;4.82
69115;2110.0;209.0;1901.0;662.0;9.91
69116;1898.0;132.0;1766.0;524.0;6.95
69117;1490.14141596526;100.238629866535;1389.90278609873;457.102206177231;6.73
69118;1340.0;106.0;1234.0;327.0;7.91
69119;456.173095892871;21.2017460699153;434.971349822956;161.759496560777;4.65
69120;280.713867696302;15.1199740385451;265.593893657757;65.6530941682754;5.39
69121;1620.0;100.0;1520.0;334.0;6.17
69122;1034.68578778788;64.290975585851;970.394812202024;250.013548665001;6.21
69123;273770.152983014;30485.9830643568;243284.169918657;92210.3576018797;11.14
69124;217.167201836289;12.0579802341187;205.10922160217;54.1716771549954;5.55
69125;482.91123811718;26.9683260052219;455.942912111958;105.314754527558;5.58
69126;426.0;25.0;401.0;85.0;5.87
69127;1763.59764112375;144.977765450706;1618.61987567304;590.812611885299;8.22
69130;102.0;7.0;95.0;21.0;6.86
69131;1776.35449140665;88.6990022359061;1687.65548917074;512.220766195177;4.99
69132;425.916014263306;7.93512721381941;417.980887049487;99.5416542386775;1.86
69133;2093.41598250254;113.7216808504;1979.69430165214;518.753150354518;5.43
69134;112.400881057269;4.2819383259912;108.118942731278;27.8325991189428;3.81
69135;874.408661309258;75.3286513460861;799.080009963172;276.943015024634;8.61
69136;1476.83256359536;104.828220368546;1372.00434322681;414.504439929284;7.1
69137;246.065420356095;12.0558853693015;234.009534986793;57.566510429366;4.9
69138;225.0;14.0;211.0;44.0;6.22
69139;647.0;39.0;608.0;179.0;6.03
69140;1114.0;55.0;1059.0;261.0;4.94
69141;2920.42247108422;183.776756460556;2736.64571462367;809.251878351629;6.29
69142;3040.32306244635;387.613524914478;2652.70953753188;927.727997641685;12.75
69143;3624.0;366.0;3258.0;975.0;10.1
69145;451.291041000428;26.6226600670814;424.668380933346;93.1519478540252;5.9
69148;1352.01417445515;57.8336981465266;1294.18047630863;292.612741161452;4.28
69149;18688.0571985809;2149.76176176969;16538.2954368112;5767.20664396544;11.5
69151;746.197392922708;35.9001188868209;710.297274035887;195.198256197271;4.81
69153;835.940254041767;27.6855632701815;808.254690771585;161.257360256742;3.31
69154;1447.56943503915;71.2808816922057;1376.28855334694;299.845339321512;4.92
69155;568.0;19.0;549.0;118.0;3.35
69156;1291.0;62.0;1229.0;298.0;4.8
69157;2560.0;154.0;2406.0;576.0;6.02
69160;467.2208744201;46.7959498588562;420.424924561244;138.420591317499;10.02
69161;199.690167641958;18.49760636825;181.192561273708;54.94740682727;9.26
69162;703.950392480304;29.8229151597071;674.127477320597;120.175533777762;4.24
69163;1866.645779462;107.942355839885;1758.70342362212;386.039146877729;5.78
69164;147.447855246908;13.0593028642326;134.388552382675;45.0095455351003;8.86
69165;557.0;27.0;530.0;142.0;4.85
69166;150.403099895262;8.20159821669335;142.201501678569;40.3060366190084;5.45
69167;288.0;14.0;274.0;81.0;4.86
