code_commune;libelle_commune;annee;total_delits
69225;Saint-Marcel-l'Éclairé;2024;0.0
69227;Saint-Martin-en-Haut;2017;70.0
69227;Saint-Martin-en-Haut;2022;102.0
69227;Saint-Martin-en-Haut;2024;101.0
69228;Chabanière;2017;86.0
69228;Chabanière;2022;123.0
69228;Chabanière;2024;140.0
69229;Saint-Nizier-d'Azergues;2017;0.0
69229;Saint-Nizier-d'Azergues;2022;0.0
69229;Saint-Nizier-d'Azergues;2024;9.0
69230;Sainte-Paule;2017;0.0
69230;Sainte-Paule;2022;0.0
69230;Sainte-Paule;2024;0.0
69231;Saint-Pierre-la-Palud;2017;26.0
69231;Saint-Pierre-la-Palud;2022;31.0
69231;Saint-Pierre-la-Palud;2024;25.0
69233;Saint-Romain-au-Mont-d'Or;2017;5.0
69233;Saint-Romain-au-Mont-d'Or;2022;14.0
69233;Saint-Romain-au-Mont-d'Or;2024;20.0
69234;Saint-Romain-de-Popey;2017;7.0
69234;Saint-Romain-de-Popey;2022;7.0
69234;Saint-Romain-de-Popey;2024;26.0
69235;Saint-Romain-en-Gal;2017;82.0
69235;Saint-Romain-en-Gal;2022;83.0
69235;Saint-Romain-en-Gal;2024;112.0
69236;Saint-Romain-en-Gier;2017;0.0
69236;Saint-Romain-en-Gier;2022;0.0
69236;Saint-Romain-en-Gier;2024;0.0
69238;Saint-Symphorien-sur-Coise;2017;80.0
69238;Saint-Symphorien-sur-Coise;2022;112.0
69238;Saint-Symphorien-sur-Coise;2024;93.0
69239;Saint-Vérand;2017;0.0
69239;Saint-Vérand;2022;0.0
69239;Saint-Vérand;2024;5.0
69240;Saint-Vincent-de-Reins;2017;0.0
69240;Saint-Vincent-de-Reins;2022;0.0
69240;Saint-Vincent-de-Reins;2024;0.0
69241;Taluyers;2017;43.0
69241;Taluyers;2022;49.0
69241;Taluyers;2024;36.0
69242;Taponas;2017;90.0
69242;Taponas;2022;69.0
69242;Taponas;2024;107.0
69243;Tarare;2017;406.0
69243;Tarare;2022;479.0
69243;Tarare;2024;458.0
69244;Tassin-la-Demi-Lune;2017;847.0
69244;Tassin-la-Demi-Lune;2022;1206.0
69244;Tassin-la-Demi-Lune;2024;1087.0
69245;Ternand;2017;0.0
69245;Ternand;2022;0.0
69245;Ternand;2024;0.0
69246;Theizé;2017;0.0
69246;Theizé;2022;0.0
69246;Theizé;2024;15.0
